ref:mise;name;operator;address;latitude;longitude
38632;ENI PV 06553 - Pietrosanti Michael;PIETROSANTI MICHAEL;S.P. Cicolana snc 67062;42.08910529222079;13.36673028767109
39805;MONTE VELINO NORD;SARNI S.R.L.;Autostrada A25 ROMA-PESCARA, Km. 81.600, dir. NORD - 67062;42.094664846641166;13.346431329846382
3516;MONTE VELINO SUD;SARNI S.R.L.;Autostrada A25 ROMA-PESCARA, Km. 81.6, dir. Est - -;42.09372123762279;13.34663450717926
33794;CONTI & C. PRODOTTI PETROLIFERI SRL MASSA D'ALBE;CONTI & C. PRODOTTI PETROLIFERI SRL MASSA D'ALBE;S.P.24 PER FORME SNC 67050;42.093342078324405;13.426634073257446
45723;IP;PAVONE FEDERICO;Strada Statale, Km. 261 km 35+660, L'AQUILA - 67020;42.142775635949924;13.741661958628697
48252;ESSO - MONTEREALE;PAD MULTIENERGY S.P.A;LOC. MARANA - S.S. 260 KM 13+730  67015;42.49457959382996;13.225808896548482
15977;Guarnieri Giuseppe;GUARNIERI GIUSEPPE;Strada Provinciale Molinella per Collecalvo  67015;42.523062860043964;13.251582182725315
16199;Distributore carburanti;SALVATI MARCO;STRADA STATALE 17 KM. 68+200  67020;42.23489001864224;13.725677579641342
54310;navelli;SYNERGY S.R.L.;s.s 17 km 65.125 snc 67020;42.24934568018492;13.695498704610278
48120;Vulcangas 1020;SOCIETA' ITALIANA GAS LIQUIDI S.P.A.;153 della Valle del Tirino, Km. 15+350, OVEST - 67025;42.286268699526836;13.745843213537512
30054;CIPOLLONI ALESSANDRO;CIPOLLONI ALESSANDRO;Statale 5 Via Tiburtina Valeria, Km. 66,050, dir. l aquila - 67063;42.06335266051887;13.042206466197968
36852;CIVITA NORD;SIFE S.R.L.;Autostrada A24 ROMA-L'AQUILA-TERAMO, Km. 47+700, dir. NORD - 67063;42.06702846447761;13.037338256835938
44198;CIVITA SUD;SERAFINI GIANCARLO & C. S.A.S. DI SERAFINI DAVIDE;Autostrada A24 ROMA-L'AQUILA-TERAMO,  Km. 48, dir. L'Aquila 67060;42.06627;13.03715
50350;Eni Gnl Metano distributore Oricola;ESSEGI IMMOBILIARE - S.A.S. DI DE SIMONE STEFANO & C.; Via Tiburtina Valeria, Km. 68,300 SNC 67063;42.07994530953432;13.056703238190002
50146;IANI SERVICE SRL;IANI SERVICE S.R.L.;Via Largo Sorgente 2 67050;41.9555434514393;13.643126080619886
55418;Pegasus Petroli OVINDOLI;PEGASUS PETROLI S.R.L.;TRATTURELLO SNC 67046;42.1416887;13.5163905
22358;LA PAGLIARA;"FRATELLI D'ADDARIO DI ANNINO E GIUSEPPE D'ADDARIO - SOCIETA' IN NOME COLLETTIVO";83 - KM. 38+900  67032;41.836506129956696;13.786727263476564
20918;TOTALERG;SO.GE.P. SRL;STRADA MARSICANA  KM 44,700 , 67032 - -;41.79564614807622;13.79406578734131
56183;ARCHE' PESCINA;ARCHE' S.R.L.;LOC. VENERE  SNC 67057;41.6284672;13.7854976
33804;IP;BERTONE TONY;PIAZZA MAZZARINO S.N.C. 67057;42.02610851536124;13.660203516483307
50818;Ottavi carburanti sas;OTTAVI CARBURANTI S.A.S.;83 Marsicana, Km. 4+911, Pescina - 67057;42.02805170108349;13.647235059311251
32327;PESCOCOSTANZO - DEL RE;"IP SERVICES S.R.L.";VIA DEL RE  67033;41.88712595842577;14.068726822090184
46423;7536;T.D.M. S.R.L.;17 KM 103,494 SNC 67034;42.01777565627819;13.942468413491838
5264;L'Aquila - Pizzoli;BEYFIN S.P.A. SOCIETA' BENEFIT;STRADA STATALE 260  67017;42.429482407102924;13.298362791538239
27070;PIZZOLI FRAZ P.TE CERMONE;SERVIZI & GESTIONI ITALIA S.R.L.;FRAZ P.TE CERMONE  67017;42.40692376201824;13.305988868122881
18948;areaself17 di Giuseppe Parisse;PARISSE GIUSEPPE;VIA SS 17  KM. 93+534 SNC 67035, PRATOLA PELIGNA (AQ) snc 67035;42.09640653577664;13.891023695468903
48801;Di Giulio;DI GIULIO ALESSANDRO;via trieste  40 67035;42.099181004920005;13.878234682209015
49326;Di Giulio 1;DI GIULIO ALESSANDRO;strada provinciale del sagittario km 1+250 snc 67035;42.087725405923265;13.882851119563616
34709;ENI 16555 - 2D di De Stephanis Giuseppina & c.;2D - S.N.C. DI PUCCI LUIGI & C.;STRADA STATALE 5 DIR KM. 5+491 SN  67035;42.10768586610924;13.875597715377808
47244;Eni Station;MAIORANO MATTEO;VIA CARSO SNC 67035;42.092404630991076;13.875503167510027
35413;CARBURANTI ITALIANI;CARBURANTI ITALIANI S.R.L.S.;S. R. N. 5 DIR KM 2+391 SNC 67027;42.1019228626349;13.84396567940712
32326;RAIANO - S.S. 5 KM 170,590;"IP SERVICES S.R.L.";S.S. 5 KM. 170,590  67027;42.10281194027733;13.815220116567616
27204;LA VECCHIA PESA;LA VECCHIA PESA DI GABRIELE DI NATALE E C. - S.N.C.;Statale 17 dell'Appennino Abruzzese e Appulo Sannitica, Km. 133.50, dir. sulmona - 67036;41.86539890245248;14.032859913932953
51836;ARCHE' ROCCA DI CAMBIO;ARCHE' S.R.L.;PIAZZA MAGGIORE LOLLI  SNC 67047;42.23698570788632;13.488742823260674
40403;X FUEL CAMPO FELICE;X FUEL S.P.A.;Loc. Campo felice  SNC 67047;42.21259162611846;13.44975471496582
41042;ARCHE' ROCCA DI MEZZO;ARCHE' S.R.L.;SS 696  SNC 67048;42.19954032398696;13.51973757147789
6301;Più;PETROLBITUMI - SOCIETA A RESPONSABILITA LIMITATA;Statale 17 dell'Appennino Abruzzese e Appulo Sannitica, Km. 90+94, dir. N.D. - ;42.11700715928106;13.87726705653074
47395;ESSO ROCCARASO Via Roma;PAD MULTIENERGY S.P.A;Via Roma  67037;41.85095706516586;14.076629526693655
27684;STAZIONE DI SERVIZIO ENI;ODDIS LAURENTINO - S.A.S.;Statale 17 dell'Appennino Abruzzese e Appulo Sannitica, Km. 136+934, dir. L'AQUILA  67037;41.8553061449447;14.068569839000702
41097;ARCHE' SAN BENEDETTO DEI MARSI;ARCHE' S.R.L.;S.P.20 MARRUVIANA KM 16+685  67058;42.001285692853834;13.607877641916275
45052;IANI PETROLI;IANI PETROLI S.R.L.;STRADA PROVINCIALE 20 KM. 16+600  67058;42.001235566668804;13.606472740655363
33815;Iani srl;IANI S.R.L.;Strada Provinciale 20 Km. 16,600, dir. Avezzano  67058;42.00125001403318;13.606159687042238
39782;S BENEDETTO MARSI TOIL SPA;TOIL S.P.A.;S.P. N.20 KM 15+890  SNC 67058;42.001556173528016;13.603614270687103
18783;IP;MIRCO FABRIZIO;S.S. 261 KM 4+912 SNC 67028;42.29493237672296;13.537421375513077
47045;MIRCO FABRIZIO 2;MIRCO FABRIZIO;SS 261 KM6+094  67028;42.27254159068116;13.561917937646967
53931;6022;T.D.M. S.R.L.;SS 17 KM 58+285 SNC 67020;42.293463;13.6372344
7135;Tamoil di Fratini Ezio Antonio;FRATINI EZIO ANTONIO;strada statale 479 km 30+912  67038;41.903188858493394;13.878114110932529
34381;IP di IANNINI ANDREA;IANNINI ANDREA;17 dell'Appennino Abruzzese e Appulo Sannitica, Km. 24,697, Scoppito  67019;42.36016913620997;13.290639370679855
56690;ARCHE' SCURCOLA MARSICANA;ARCHE' S.R.L.;Strada Statale 5, km 109+596 Fraz. Cappelle  67068;42.063152;13.385774
49312;CAPPELLE N;NORDENERGY S.P.A.;via Tiburina Valeria k 108+495  67068;42.067504028387624;13.37268794498689
40429;rubeo luca;RUBEO LUCA;VIA TIBURTINA KM.105,216 SNC 67068;42.06229508075158;13.336934298276901
25640;X FUEL CAPPELLE DEI MARSI;X FUEL S.P.A.;REATINA SNC 67068;42.07071560382101;13.378391861915588
43283;CMM;C.M.M. CENTRALE METANO MARSICA DI MALANDRA GABRIELE S.R.L.;VIALE DELLA REPUBBLICA SNC 67039;42.075476431389696;13.906733393669128
19735;DI.PA.snc;DI.PA. DI DI BENEDETTO VENANZIO & PAOLUCCI GUGLIELMO SNC;viale della repubblica snc, 67039 - -;42.067717803387254;13.913983404636383
35683;eni station;LEOMBRUNI DOTT. FRANCO S.A.S.;viale della repubblica 8 67039;42.06011535555555;13.919937328311107
44382;IMPIANTO N. 16556 ;LEOMBRUNI DOTT. FRANCO S.A.S.;S.S. 17 VARIANTE LOCALITA' NOCETO SNC 67039;42.081024000123;13.913895000123
29935;MED OIL 47929 Sulmona;MED OIL - SOCIETA' A RESPONSABILITA' LIMITATA;VIA SS 17 KM 97+630 SNC 67039, SULMONA (AQ)  67039;42.06450600179333;13.916067481040955
30025;Stazione IP M.F.;MARINUCCI FRANCESCO;viale mazzini  143 67039;42.03593748699027;13.932827869311495
38076;Sulmona;"IP SERVICES S.R.L.";VIALE MAZZINI snc 67039;42.04274829010013;13.928372114896774
25068;SULMONA - CIRC.NE ORIENTALE;"IP SERVICES S.R.L.";VIA CIRCONVALLAZIONE ORIENTALE  67039;42.05016614115034;13.926799241733534
20653;Total Erg;DI BIASE ANNA MARIA;circonvallazione occidentale 16, 67039 - -;42.05227657095521;13.919885605573654
48648;Vulcangas Esso 1063 Sulmona;SOCIETA' ITALIANA GAS LIQUIDI S.P.A.;17 dell'Appennino Abruzzese e Appulo Sannitica, Km. 98+300, Sud - 67039;42.06276801183399;13.927631098070554
44700;Beyfin - FRATELLI TITTONE;FRATELLI TITTONE S.A.S. DI TITTONE GIOVANNI E C.;Via Tib Valeria 102 67069;42.052909000123;13.302416000123
44147;CLS CARBURANTI;DI BERNARDO GIULIA;5 Via Tiburtina Valeria, Km. 97,500, TAGLIACOZZO - 67069;42.07403495496915;13.251008743347484
48710;ENI PV 06506 - Pietrosanti Michael;PIETROSANTI MICHAEL;Via Variante Tiburtina Valeria SS5 snc 67069;42.074033968321984;13.251009976686476
34352;RUBEO LUCA;RUBEO LUCA;Statale 5 Via Tiburtina Valeria, Km. 98,700, dir. tagliacozzo - 67069;42.06829284405488;13.270351141691208
34353;RUBEO LUCA;RUBEO LUCA;VIA DUCA DEGLI ABRUZZI S.N. 67069;42.06871144379576;13.253487243526365
44447;ENI;RETICO ALESSANDRO CLAUDIO;VIA ROMA SNC 67059;41.960021321154336;13.530954058860743
47730;Perinetti Auto Fuel;PERINETTI AUTO S.R.L.;VIA ROMA KM. 12.450 SN 67059;41.96003293745031;13.51137084140213
45395;Gatta Mario;AREA SERVICE "VIGNARONICA" S.A.S. DI GATTA MARIO & C.;ROMA 15 67030;41.932821611185716;13.851436580426025
53563;SAVATONIO EMANUELE;SAVATONIO EMANUELE;VIA ROMA snc 67030;41.775255981421864;13.94197627902031
43869;CARBURANTI FRATELLI FERRARA SRLS;CARBURANTI FRATELLI FERRARA SRLS;84 Frentana, Km. 55+250 , CASOLI - 66040;42.114519974196504;14.342537364418035
55354;Consgas Petroli;CONSGAS PETROLI S.R.L.;84 Frentana, Km. 55+637 , SN - 66044;42.114035296824476;14.347111284732819
44904;Retitalia;FERRARA CESARE;84 Frentana, Km. 56+832, Altino - 66040;42.11453743463153;14.342580230683097
56487;TAMOIL ALTINO S.S. 84 KM 56+832;TAMOIL ALTINO S.S. 84 KM 56+832;S.S. 84 KM 56+832  66040;42.084081500000003;14.2534562
5935;ATESSA;"IP SERVICES S.R.L.";Via Colle Pietre 87 66040;42.12904487067406;14.432293860118875
5936;ATESSA;"IP SERVICES S.R.L.";Via Antonio Gramsci / SP MONTEMARCONE 84 66041;42.075042999999994;14.446454116567566
48441;ATESSA X FUEL;CARBURANTI FRATELLI FERRARA SRLS;Via SP localita' Montecalvo 10 66041;42.121473330113965;14.478608529447756
14509;BOSCHETTI ANTONIO;" BOSCHETTI ANTONIO ";P. GOBETTI 21 66040;42.066325976273376;14.452757388353348
21831;D&Dsas;D. & D. S.A.S. DI D'ONOFRIO ANGELO & C.;S.p ex S.s 154 km5+874  66041;42.12769206649996;14.41176451742649
27045;DISTRIBUTORE IP di BERARDI DANIELE;BERARDI DANIELE;VIA MADONNA A MARE 06 66041;42.070061712403486;14.461528327824908
55353;ENI;L.C. ENERGY SERVICE DI CONSALVI LUIGI S.A.S.;SP MARRUCINA LOC. CARRIERA SN 66041;42.088127363728056;14.446141719818115
9084;RES PIAZZANO DI ATESSA;"TRADE INVEST S.R.L.";Statale 652 di Fondo Valle Sangro, Km. 67+537, dir. villa santa maria  66041;42.13302724931936;14.409601986408234
4302; DONATUCCI GIANNI; DONATUCCI GIANNI;DONATUCCI GIANNI via S.S. 81 Piceno aprutina dir. mare km 153+700  66011;42.29572438653073;14.158996492624283
44714;DISTRIBUTORE IP MASCIULLI;MASCIULLI VIAGGI S.R.L.;C.DA COLLE S. ANTONIO  66011;42.31968083882765;14.136305588954883
50109;Lanny Bonaventura;BONAVENTURA LANNY;Santa Chiara 28 66011;42.301289667663156;14.180997716799988
22116;area di servizio Primante Massimo;PRIMANTE MASSIMO;STRADA PROVINCIALE PER CRECCHIO - VIA VALLI  66010;42.29273508341408;14.306675150517322
22554;Di Sario srl;Di Sario srl;VIA VERSO TOLLO 67 66010;42.302288318099365;14.305671877909845
44145;Ip;PETROLBITUMI - SOCIETA A RESPONSABILITA LIMITATA; SP 42 MADONNA DELL'ASILO SNC 66030;42.013147303550596;14.506807327270508
54038;GOIL CARUNCHIO;LC HOLDING S.P.A.;Via Provinciale  66050;40.8485888;14.4867328
44667;26584;LIBERATOSCIOLI & C. S.N.C. DI LIBERATOSCIOLI A.  & DEL ROMANO U.;STRADA VAL DI FORO 97 66010;42.26838534821819;14.198622215938599
52507;Eni Station;DEL ROMANO UGO;STRADA VAL DI FORO 99 66010;42.26839071802066;14.198636149394774
21600;IP di D'Amario Giovanni ;D'AMARIO GIOVANNI;VIA DEI TIGLI 196 66021;42.155756165887745;14.608234316110611
41671;pasquini nicola;PASQUINI TOMMASO;DEI TIGLI 96 66020;42.153961799456425;14.599998873085724
4565;PORTOBELLO;ADRIATICA S.R.L.;Statale 16 Adriatica, Km. 503+195, dir. SUD - 66021;42.170705373043226;14.639080067855843
31139;CASALINCONTRA - VIA CAPPELLE;"IP SERVICES S.R.L.";VIA CAPPELLE - (S.P. 44)  66012;42.29621785568167;14.128199999999993
23069;DS CARBURANTI;DE SIMONE GIUSEPPE;Statale 84 Frentana, Km. 48,700, dir. SUD - 66043;42.117344866570704;14.29057008465577
27305;Eni Casoli;PETROLBITUMI - SOCIETA A RESPONSABILITA LIMITATA;CONTRADA CIPOLLARO SNC 66043;42.11525234000667;14.257894390216052
9673;RES;DI SANTO SABINA;VIA SELVA PIANA 70 66043;42.12129136738137;14.302988293959288
14770;RES CASOLI;"TRADE INVEST S.R.L.";VIA SELVA PIANA 96 66043;42.12453065833825;14.303759525834494
9435;eni di franceschini;"FRANCESCHINI S.A.S. DI FRANCESCHINI DAVIDE & C.";Statale 84 Frentana, Km. 72+320, dir. castel frentano  66032;42.19269988013503;14.369336664676666
52688;TAMOIL - CASTIGLIONE MESSER MARINO - L.GO SAN ROCCO;PAD MULTIENERGY S.P.A;S. ROCCO SNC 66033;41.867555000000003;14.448485
26113;26585 CHIETI ;ENI FUEL S.P.A.;EX SS TIBURTINA SNC 66100;42.331392190315356;14.115218818187714
42313;26611 ENI di COSTANTINI CARBURANTI sas;COSTANTINI CARBURANTI DI GIUSEPPE COSTANTINI S.A.S.;649 di Fondo Valle Alento, Km. 3+800, sud - 66100;42.35976828586567;14.216516464948654
37292;BRECCIAROLA NORD;SARNI S.R.L.;Autostrada A25 ROMA-PESCARA, Km. 174+800, dir. nord - 66010;42.32567773675645;14.085972011089325
